en_corruption_1,es_corruption_1,en_corruption_2,es_corruption_2,en_corruption_3,es_corruption_3
I want to talk to you today a little bit about predictable irrationality.And my interest in irrational behaviour started many years ago in the hospital.,['Hoy quiero hablarles un poco de la irracionalidad predecible.Y mi interés en el comportamiento irracional comenzó hace muchos años en el hospital.'],I want to talk to you today a little bit about predictable irrationallity.And my interest in irrational behavior started may years ago im the horsuplo.,['Hoy quiero hablarles un poco sobre la irracionalidad predecible.Y mi interés en el comportamiento irracional comenzó hace hace años soy el horsuplo.'],I whant to talk to yow today a litel bit about predictable irrationallity.And my intrest i irrational behavior started many years go it the hospital.,['Hoy quiero hablarles un poco sobre la irracionalidad predecible.Y mi interés de que el comportamiento irracional comenzó muchos años llegó al hospital.']
"I was burned very badly.And if you spend a tant ofr time in hospital, you'll see a lot of types of irrationalities.And the one dat particularly bothered me it the burn department some the process by which tjhe nurses took the bandage off me.Now, you must h","['Me quemé muy mal.Y si pasan un poco de tiempo en el hospital, verán muchos tipos de irracionalidades.Y el dato particularmente me molestó en el departamento de curación, el proceso por el que las enfermeras tomaron el proceso por el que las enfermeras']","ld was burned very badly.And if yuo spend a lot of time in hospital, you'll see a lot of types of irrationalities.And the one that particularly bothered mey in the burn department was the process by which the nurses took tie bandage off me.Now, you mote ha","['ld estaba quemado muy mal.Y si yuo pasa mucho tiempo en el hospital, verán muchos tipos de irracionalidades.Y la que particularmente me molestó en el departamento de curación era el proceso en el que las enfermeras se atraparon en el proceso de que las']","I ws burned very badly.And it yo spend a lot ofr time im hostpital, you'll see a tant of types of irrationalities.And the wum that particularly bothered me in tehe brun department wan the process by which the nurse's tuck hte bandage off may.Now, you was h","['Me quemé muy mal.Y pasa mucho tiempo en el hospital, verán un montón de tipos de irracionalidades.Y la muma que particularmente me molestó en el departamento de la enfermera quiere el proceso por el que la enfermera está atrapada.']"
"The nurses in my department thought that the right approach was the ripping one, so they would grab hold and tyhe would rip, and they would grab hold and they would rip.","['Las enfermeras en mi departamento pensaban que el enfoque correcto era el correcto, así que atraparían el correcto, y atraparían el correcto, y atraparían el correcto y atraparían.']","The nurse's in my department thot that the write approach was the ripping one, so thrar would grab hold and they wet rip, and they would grab hold and they wob rip.","['La enfermera está en mi departamento diciendo que el enfoque de escritura era el escritorio, así que el enfoque de escritorio era el escritorio, así que el escritorio era el escritorio, y el escritorio era el escritorio.']","The nurses im my deportment thought but the right approach was the ripping one, slow they would grab hod and they would rip, hand they were grabe holed hand they wob rip.","['Las enfermeras que pensaban en mi deporte pensaban pero el enfoque correcto era el correcto, lento que atrapaban y atrapaban, la mano que atrapaban y la mano que atrapaban, la mano que atrapaban la mano que atrapaban.']"
"And because is had 70 percent of my body burned, it would take about an our.","['Y porque había tenido el 70 % de mi cuerpo quemado, tomaría un nuestro.']","And because I had 70 percent of my body burned, it would take about an hour.","['Y como tenía el 70 % de mi cuerpo quemado, tomaría una hora.']","And bekus I ade 70 percent of my body burned, et whort take about an our.","['Y bekus hice el 70 % de mi cuerpo quemó, es decir, un nuestro.']"
"And as you can imagine, I hated thet moment from ripping with incredible intensity.","['Y como pueden imaginar, odiaba ese momento de correr con increíble intensidad.']","And as yoy can imagine, I heated that moment of ripping with incredible intensity.","['Y como pueden imaginar, calenté ese momento de correr con increíble intensidad.']","And as you can immagine, i hated that moment of ripping with incredible intensity.","['Y como pueden imaginar, odiaba ese momento de correr con increíble intensidad.']"
"And I would try to reason wiy the and say, ""yoy don't we try something else?","['Y trataría de razonar la razón y decir: ""¿No intentamos algo más?']","And I would try to reason with then and say, ""Why don't we try something else?","['Y trataba de razonar entonces y decía: ""¿Por qué no tratamos algo más?']","And a would try to reason wis them and say, ""Why don't wot try something else?","['Y un trataría de razonarlos y decir: ""¿Por qué no intentarían algo más?']"
"Why don't we take it a little longer -- maybe two hours instead of an hour -- aud have less of this intensity?""","['¿Por qué no lo tomamos un poco más tiempo, quizás dos horas en lugar de una hora, las audiciones tienen menos intensidad?""']","Why don't we take it a litle loger -- maybe two hours instead of an hour -- and hav less of this intensity?""","['¿Por qué no tomamos un pequeño logro, quizás dos horas en lugar de una hora, y tener menos de esta intensidad?""']","way don't we take it a little longer -- maybe two hours instead of an hour -- aud have less of this intensity?""","['¿Cómo no lo tomamos un poco más tiempo, quizás dos horas en lugar de una hora, las audiciones tienen menos intensidad?""']"
And the nurses told me tow things.They told me that they had th right model of thee patient -- that they knew what was my right thing to do to minimize yoy pain -- and they also told me that the word patient doesn't mean to make suggestions or to interfere,"['Y las enfermeras me dijeron cosas.Me dijeron que tenían el modelo correcto del paciente, que sabían qué era mi correcto que hacer para minimizar el dolor de yoy.Y también me dijeron que la palabra paciente no significa que el paciente no significa que']",And the nurses told me two things.They told me that thar had an right model of the patient -- that thy knew what was the right thing to do to minimize my pain -- and they also told me that the word patient doesn't mean tow make suggestions or two interfere,"['Y las enfermeras me dijeron dos cosas.Me dijeron que eso tenía un modelo correcto del paciente, que sabía qué era lo correcto que hacer para minimizar mi dolor.Y también me dijeron que la palabra paciente no significa mantener mi dolor.']",And the nurse's told mey two things.They told me that they had t right modle of the patient -- that there knew what wan the right thing the do to minimize my pain -- and they alss told knee that the word patient doesn't mean to make suggestions or to inter,"['Y la enfermera me dijo dos cosas.Me dijeron que tenían un modelo correcto del paciente, que sabía qué quería hacer para minimizar mi dolor, y también les dijeron que la palabra paciente no significa que el paciente no significa dolor.']"
sor that's what I did.,['eso fue lo que hice.'],So that's what I did.,['Eso fue lo que hice.'],sane theat's whot I did.,['La caída sana es lo que hice.']
I was still interested in this question of how do you take bandages off burn patients.,['Todavía estaba interesada en esta pregunta de cómo tomar bandajas a los pacientes de quema.'],I was still interrested in this qustion oaf how do you take bandages of burn patients.,['Todavía estaba interresada en esta pregunta de cómo tomar bandajas de pacientes quemados.'],I was still interested im tihs question of how do you take bandages off burn patients.,['Todavía estaba interesada por esa pregunta de cómo tomar bandajas a los pacientes de quema.']
