en,es
I want to talk to you today a little bit about predictable irrationality.And my interest in irrational behavior started many years ago in the hospital.,['Hoy quiero hablarles un poco de la irracionalidad predecible.Y mi interés en el comportamiento irracional comenzó hace muchos años en el hospital.']
"I was burned very badly.And if you spend a lot of time in hospital, you'll see a lot of types of irrationalities.And the one that particularly bothered me in the burn department was the process by which the nurses took the bandage off me.Now, you must have","['Me quemé muy mal.Y si pasan mucho tiempo en el hospital, verán muchos tipos de irracionalidades.Y la que particularmente me molestó en el departamento de la enfermedad era el proceso en el que las enfermeras tomaron el baño.']"
"The nurses in my department thought that the right approach was the ripping one, so they would grab hold and they would rip, and they would grab hold and they would rip.","['Las enfermeras en mi departamento pensaban que el enfoque correcto era el correcto, así que atraparían el correcto, y atraparían el correcto, y atraparían el correcto y atraparían.']"
"And because I had 70 percent of my body burned, it would take about an hour.","['Y como tenía el 70 % de mi cuerpo quemado, tomaría una hora.']"
"And as you can imagine, I hated that moment of ripping with incredible intensity.","['Y como pueden imaginar, odiaba ese momento de correr con increíble intensidad.']"
"And I would try to reason with them and say, ""Why don't we try something else?","['Y trataba de razonar con ellos y decir: ""¿Por qué no intentamos algo más?']"
"Why don't we take it a little longer -- maybe two hours instead of an hour -- and have less of this intensity?""","['¿Por qué no lo tomamos un poco más, quizás dos horas en lugar de una hora, y tener menos de esta intensidad?""']"
And the nurses told me two things.They told me that they had the right model of the patient -- that they knew what was the right thing to do to minimize my pain -- and they also told me that the word patient doesn't mean to make suggestions or to interfere,"['Y las enfermeras me dijeron dos cosas.Me dijeron que tenían el modelo correcto del paciente, que sabían qué era lo correcto que hacer para minimizar mi dolor.Y también me dijeron que la palabra paciente no significa minimizar mi dolor.Y también me di']"
So that's what I did.,['Eso fue lo que hice.']
I was still interested in this question of how do you take bandages off burn patients.,['Todavía estaba interesada en esta pregunta de cómo tomar bandajas a los pacientes de quema.']
"So originally I didn't have much money, so I went to a hardware store and I bought a carpenter's vice.","['Así que originalmente no tenía mucho dinero, así que fui a una tienda de hardware y compré el vice de un carpintero.']"
"And I would bring people to the lab and I would put their finger in it, and I would crunch it a little bit.","['Y llevaba a la gente al laboratorio y ponía sus dedos en ello, y lo cortaba un poco.']"
" And I would crunch it for long periods and short periods, and pain that went up and pain that went down, and with breaks and without breaks -- all kinds of versions of pain.","[' Y lo cruzaba durante largos períodos y cortos, y el dolor que subió y el dolor que subió, y con rompecabezas y sin rompecabezas, todo tipo de versiones de dolor.']"
"And when I finished hurting people a little bit, I would ask them, so, how painful was this?","['Y cuando terminé dolorando a la gente un poco, les preguntaba, ¿qué doloroso era esto?']"
"Or, how painful was this?","['O, ¿qué doloroso fue esto?']"
"Or, if you had to choose between the last two, which one would you choose? doing this for a while. And then, like all good academic projects, I got more funding.","['O, si tuvieras que elegir entre los últimos dos, ¿cuál elegirías? haciendo esto durante un tiempo. Y luego, como todos los buenos proyectos académicos, tuve más financiamiento.']"
"I moved to sounds, electrical shocks -- I even had a pain suit that I could get people to feel much more pain.","['Me mudé a los sonidos, los sonidos eléctricos, incluso tenía un traje de dolor que podía hacer que la gente se sentiera mucho más dolor.']"
"But at the end of this process, what I learned was that the nurses were wrong.","['Pero al final de este proceso, aprendí que las enfermeras estaban equivocadas.']"
"Here were wonderful people with good intentions and plenty of experience, and nevertheless they were getting things wrong predictably all the time.It turns out that because we don't encode duration in the way that we encode intensity, I would have had less","['Aquí había personas maravillosas con buenas intenciones y mucha experiencia, y sin embargo estaban equivocando las cosas equivocadas predeciblemente todo el tiempo.Resulta que porque no encodemos la duración de la forma en que encodemos la duración.']"
And it also turns out that it would have been good to give me breaks in the middle to kind of recuperate from the pain.,['Y también resulta que habría sido bueno darme ruidos en el medio para recuperarme del dolor.']
"All of these would have been great things to do, and my nurses had no idea.","['Todas estas habrían sido grandes cosas, y mis enfermeras no tenían idea.']"
"And from that point on I started thinking, are the nurses the only people in the world who get things wrong in this particular decision, or is it a more general case?","['Y desde ese punto empecé a pensar, ¿son las enfermeras las únicas personas del mundo que tienen las cosas malas en esta decisión, o es un caso más general?']"
And it turns out it's a more general case -- there's a lot of mistakes we do.,"['Y resulta que es un caso más general, hay muchos errores que hacemos.']"
"And I want to give you one example of one of these irrationalities, and I want to talk to you about cheating.","['Y quiero darles un ejemplo de una de estas irracionalidades, y quiero hablarles del castigo.']"
"And the reason I picked cheating is because it's interesting, but also it tells us something, I think, about the stock market situation we're in.","['Y la razón por la que elegí atrapar es porque es interesante, pero también nos dice algo, creo, sobre la situación del mercado de valores.']"
"So, my interest in cheating started when Enron came on the scene, exploded all of a sudden, and I started thinking about what is happening here.","['Así que mi interés en el ataque comenzó cuando Enron vino en la escena, explotó de repente, y empecé a pensar en lo que está pasando aquí.']"
"Is it the case that there was kind of a few apples who are capable of doing these things, or are we talking a more endemic situation, that many people are actually capable of behaving this way?","['¿Es el caso de que había unas pocas manzanas que son capaces de hacer estas cosas, o hablamos una situación más endémica, que mucha gente es capaz de comportarse de esta manera?']"
"So, like we usually do, I decided to do a simple experiment.And here's how it went.If you were in the experiment, I would pass you a sheet of paper with 20 simple math problems that everybody could solve, but I wouldn't give you enough time.When the five m","['Así que, como lo hacemos generalmente, decidí hacer un experimento simple.Y así es como fue.Si estuvieran en el experimento, les pasaría una caja de papel con 20 problemas matemáticos simples que todos podían resolver, pero no les daría una caja de']"
Other people I would tempt to cheat.,['Otras personas que tenía tentado de golpear.']
"I would pass their sheet of paper.When the five minutes were over, I would say, ""Please shred the piece of paper.Put the little pieces in your pocket or in your backpack, and tell me how many questions you got correctly.""","['Pasaba su caja de papel.Cuando los cinco minutos terminaban, diría: ""Por favor, por favor, pongan las piezas en su bolsillo o en su bolsillo, y déjenme cuántas preguntas recibieron correctamente"".']"
People now solved seven questions on average.,['La gente ahora resolvió siete preguntas en promedio.']
"Now, it wasn't as if there was a few bad apples -- a few people cheated a lot.","['No fue como si hubiera algunas malas manzanas, algunas personas atraparon mucho.']"
"Instead, what we saw is a lot of people who cheat a little bit.","['En cambio, lo que vimos es mucha gente que atrapa un poco.']"
"Now, in economic theory, cheating is a very simple cost-benefit analysis.","['En la teoría económica, el ataque es un análisis de costo-beneficio muy simple.']"
"You say, what's the probability of being caught?","['Dices, ¿cuál es la probabilidad de ser atrapado?']"
How much do I stand to gain from cheating?,['¿Cuánto gano de ganar del ataque?']
And how much punishment would I get if I get caught?,['¿Y cuánto castigo recibiría si me atrapara?']
"And you weigh these options out -- you do the simple cost-benefit analysis, and you decide whether it's worthwhile to commit the crime or not.So, we try to test this.For some people, we varied how much money they could get away with -- how much money they ","['Y pesas estas opciones, haces el análisis de beneficios de costos, y decides si vale la pena cometer el crimen o no.Así que tratamos de pruebar esto.Para algunas personas, variamos cuánto dinero podían recibir el dinero o no.Así que tratamos de prueb']"
What about the probability of being caught?,['¿Qué pasa con la probabilidad de ser atrapado?']
"Some people shredded half the sheet of paper, so there was some evidence left.","['Algunas personas rompieron la mitad de la taza de papel, así que había alguna evidencia.']"
"Some people shredded the whole sheet of paper.Some people shredded everything, went out of the room, and paid themselves from the bowl of money that had over 100 dollars.You would expect that as the probability of being caught goes down, people would cheat","['Algunas personas rompieron todo, salieron de la habitación, y se pagaron del bolsillo de dinero que tenía más de 100 dólares.Esperarían que como la probabilidad de ser atrapada con más de 100 dólares.Esperarían que como la probabilidad de ser atra']"
"Again, a lot of people cheated by just by a little bit, and they were insensitive to these economic incentives.","['De nuevo, muchas personas atraparon por un poco, y eran insensibles a estos incentivos económicos.']"
"So we said, ""If people are not sensitive to the economic rational theory explanations, to these forces, what could be going on?""And we thought maybe what is happening is that there are two forces.At one hand, we all want to look at ourselves in the mirror ","['Así que dijimos: ""Si la gente no está sensible a las explicaciones de teoría racional económica, a estas fuerzas, ¿qué podría pasar?""Y pensamos que tal vez lo que está pasando es que hay dos fuerzas.Por un lado, todos queremos llevar a cabo dos fu']"
We call this like a personal fudge factor.,['Lo llamamos como un factor de combustible personal.']
"Now, how would you test a personal fudge factor?","['Ahora, ¿cómo probarías un factor de combustible personal?']"
"Initially we said, what can we do to shrink the fudge factor?So, we got people to the lab, and we said, ""We have two tasks for you today.""First, we asked half the people to recall either 10 books they read in high school, or to recall The Ten Commandments,","['En primer lugar, dijimos, ¿qué podemos hacer para crecer el factor de comida?Así que llegamos al laboratorio y dijimos: ""Tenemos dos tareas para Uds.hoy"".Primero, le pedimos a la mitad de las personas que recordaran 10 libros que leen en la secundaria,']"
"It wasn't that the more religious people -- the people who remembered more of the Commandments -- cheated less, and the less religious people -- the people who couldn't remember almost any Commandments -- cheated more.The moment people thought about trying","['No era que cuanto más religiosas las personas recuerdan más de los Comandamientos, las personas que recuerdan más de los Comandamientos, las personas que no podían recordar casi ningún Comandamiento, las personas que no podían recordar casi ningún']"
