en_corruption_1,es_corruption_1,en_corruption_2,es_corruption_2,en_corruption_3,es_corruption_3
I want to talk to you today a little bit about predictable irrationality.And my interest in irrational behavior started many years ago in the hospital.,['Hoy quiero hablarles un poco sobre la irracionalidad predecible.Y mi interés en el comportamiento irracional comenzó hace muchos aos en el hospital.'],I whon to talk too your to_day a little bit about predicable irrationality.And my interest in irrational behavior started many years ago in the hospital.,['Quiero hablar también de la irracionalidad predicible.Y mi interés en el comportamiento irracional comenzó hace muchos aos en el hospital.'],we mant to talk to you todya a little bit about predictable irrationality.And my interest in irrational behaviour started many years ago if the hospital.,['hace muchos aos hablarles de la irracionalidad predecible.Y mi interés en el comportamiento irracional comenzó hace muchos aos si el hospital.']
"I was burned very badly.And it you spend as lot of time in hospital, you'll see as tant of types of irrationalities.And that one that particularily bothered me in the burn department was the process by which hte nurses tuck the bandage off me.Now, you must","['Me incendiéndose muy mal.Y pasas mucho tiempo en el hospital, verán como tipos de irracionalidades.Y esa que me preocupó particularmente en el departamento de incendios fue el proceso por el cual las enfermeras me ponan el bandaje.Ahora, debes debes']","I was bruned very badley.And is yuo spend an alot of time in hospital, yew'll see a lot off types of irrationalities.And the one that paticulary bothered me im the burn department was the process bery which the nurses took the bandage off me.Now, you must ","['Estaba enfermada muy mal.Y es yuo pasar mucho tiempo en el hospital, verás muchos tipos de irracionalidades.Y lo que me enfermó paticularmente en el departamento de los calores fue el proceso en el que las enfermeras me sacaron el bandaje.Ahora, debes deberas']","I saw burned vrey badly.And if you spend the lot onet time if hospital, you'll see an lot ovoe types of irrationalities.anf they one that partiularly bothered mae in the burn department was thee process by which th nurses took ther bandge off knee.own, you","['V mal cado.Y si pasas el tiempo una vez si el hospital, verás un montón de tipos de irracionalidades.As que uno que se molesta partiularmente en el departamento de los cados fue el proceso por el cual las enfermeras sacaron el nio.']"
"The nurses in my department thought that the right approach his the ripping one, so they would grab hold and they would rip, and they would grab hold and they would rip.","['Las enfermeras en mi departamento pensaban que el enfoque correcto era el que llevaba, as que aguantaran y aguantaran, y aguantaran y aguantaran.']","The nurses in my deportment throught the an right approch was the ripping one, so they wet grab hold and thea wob rip, hand they would grab hold an they would rip.","['Las enfermeras en mi deportión a través de una aprrocha correcta eran las aprenderse, as que aprenderon a agujeras y la a agujera agujera, la mano a agujera a agujeras a agujeras.']","The nurses it yoy department thougt that the write approach was the ripping one, soe they would grab hold hand thea wob rip, and they would grab hod and they would rip.","['Las enfermeras del departamento tuvieron que el enfoque de escritura era el enfoque de escritura, as que agregaran la mano de mano el a agujera y aguaran y aguaran.']"
"And because I had 70 percent of my body burned, it would teck about and hour.","['Y como tena el 70 % de mi cuerpo incendiéndolo, tuviera una y otra hora.']","a because he had 70 percent of my body burnd, it would take adout un hour.","['a porque tena el 70 % de mi cuerpo querrió, llevara una hora.']","And becase I haed 70 percent of my boddy burned, it would take out on our.","['Y en caso de que me incenda el 70 por ciento de mi nio, eso llevara a nuestro.']"
"And as you can imagine, I hated that moment of ripping with incredible intensity.","['Y como pueden imaginar, odiaba ese momento de cortar con increble intensidad.']","a as you con imagin, I hated that moment of ripping with incredible intensity.","['como imaginas, odiaba ese momento de correr con una intensidad increble.']","And as you can immagine, I hatted that moment of ripping with incredible intensity.","['Y como se puede inmagnia, hice ese momento de correr con una intensidad increble.']"
"And I would try to reson with them and say, ""Why don't we try sothing eles?","['Y tratara de resonar con ellos y decir: ""Por qué no intentamos eles sobre todo?']","And I would try to reson with there so say, ""way don't we tine something else?","['Y tratara de resonar ah as que digamos: ""No tenemos algo más?']","anbd I woild tine to reason wive them and said, ""Why don't we tri something eles?","['y yo dije: ""Por qué no triamos algo eles?']"
"Why don't we take it a little longer -- may_be teo hours instead of an hour -- and have less of this intensity?""","['Por qué no lo tomamos un poco más tiempo, puede ser teo horas en lugar de una hora, y tener menos de esta intensidad?""']","Why don't we take it i little longer -- maybe two hours instead of an hour -- and have less of this intensity?""","['Por qué no lo tomamos un poco más tiempo, quizás dos horas en vez de una hora, y tenemos menos intensidad?""']","Why don't we teck it a little longer -- maybe two hours instead of un our -- aud of less on this intensity?""","['Por qué no lo ponemos un poco más tiempo, quizás dos horas en lugar de no nuestro, emocionamos menos en esta intensidad?""']"
anf the nurses told me two things.They told me that they hade the right model of the patient -- that thaire knew what was the right thing to olethl to minimize my pain -- and they also told me that the word patient doesn't mean to make suggestions or to in,"['las enfermeras me dijeron dos cosas.Me dijeron que tenan el modelo adecuado del paciente, que el aire saba cuál era lo adecuado para olethl para minimizar mi dolor, y también me dijeron que la palabra paciente no significa hacer sugerencias o entrar.']",And the nurses tod mey two things.They told me that they had the right modle of the patient -- that they knew what was they right thing to do to minimize my pain -- and they also told me that the word patient doesn't mean to make suggestions or tow interfe,"['Y las enfermeras me dijeron dos cosas.Me dijeron que tenan el modo correcto del paciente, que saban qué era lo correcto que hacer para minimizar mi dolor, y también me dijeron que la palabra paciente no significa hacer sugerencias ni hacer interfe.']",And the nurses told me two things.thrar teld onthe taht thar haed the rite model of the patient -- that thaire knew what ws the right thing qu do ot minimize mi paine -- and they aslo told me that the word patient doesn't mean too mank suggestions os to in,"['Y las enfermeras me dijeron dos cosas.thrar teléfono en el taht thar haedo el modelo del rite del paciente, que taire saba lo correcto que hace minimizar mi dolores, y me dijeron que la palabra paciente no significa demasiado supuestas de mank para en el']"
So that's what I did.,['As que eso fue lo que hice.'],So that's what I did.,['As que eso fue lo que hice.'],So vat's what I did.,['As que vat es lo que hice.']
I was still interested in this queston of how do you thak bandages off burn patients.,['Todava estaba interesado en esta queston de cómo hacen el agujero de los pacientes que queman.'],I was still interested in this question of how do you teck bandages off burn patients.,['Todava estaba interesado en esta pregunta de cómo hacer que los pacientes ardieron las bandas.'],I was still interested in thhis question of how do you take bandages off burn patiants.,['Todava estaba interesado en la pregunta de cómo llevar las bandas de los patiantes.']
