en,es
I want to talk to you today a little bit about predictable irrationality.And my interest in irrational behavior started many years ago in the hospital.,Hoy quiero hablarles un poco sobre la irracionalidad predecible.Y mi interés en el comportamiento irracional comenzó hace muchos aos en el hospital.
"I was burned very badly.And if you spend a lot of time in hospital, you'll see a lot of types of irrationalities.And the one that particularly bothered me in the burn department was the process by which the nurses took the bandage off me.Now, you must have","Me incendió muy mal.Y si pasamos mucho tiempo en el hospital, verán muchos tipos de irracionalidades.Y lo que me molestó particularmente en el departamento de incendios fue el proceso por el cual las enfermeras me sacaron el bandaje.Ahora, debes tener mucho tiempo."
"The nurses in my department thought that the right approach was the ripping one, so they would grab hold and they would rip, and they would grab hold and they would rip.","Las enfermeras en mi departamento pensaban que el enfoque correcto era el enfoque correcto, as que aguantaran y aguantaran, y aguantaran y aguantaran."
"And because I had 70 percent of my body burned, it would take about an hour.","Y como tena el 70 % de mi cuerpo incendiéndose, se necesitara cerca de una hora."
"And as you can imagine, I hated that moment of ripping with incredible intensity.","Y como pueden imaginar, odiaba ese momento de cortar con increble intensidad."
"And I would try to reason with them and say, ""Why don't we try something else?","Y trataba de razonar con ellos y decir: ""Por qué no intentamos algo más?"
"Why don't we take it a little longer -- maybe two hours instead of an hour -- and have less of this intensity?""","Por qué no lo tomamos un poco más tiempo, quizás dos horas en vez de una hora, y tenemos menos intensidad?"""
And the nurses told me two things.They told me that they had the right model of the patient -- that they knew what was the right thing to do to minimize my pain -- and they also told me that the word patient doesn't mean to make suggestions or to interfere,"Y las enfermeras me dijeron dos cosas.Me dijeron que tenan el modelo correcto del paciente, que saban lo correcto para minimizar mi dolor, y también me dijeron que la palabra paciente no significa hacer sugerencias o interferer."
So that's what I did.,As que eso fue lo que hice.
I was still interested in this question of how do you take bandages off burn patients.,Todava estaba interesado en esta pregunta de cómo llevar las bandas de los pacientes que ardieron.
"So originally I didn't have much money, so I went to a hardware store and I bought a carpenter's vice.","As que, inicialmente, no tena mucho dinero, as que fui a una tienda de hardware y compré un vice de carpista."
"And I would bring people to the lab and I would put their finger in it, and I would crunch it a little bit.","Y llevaba gente al laboratorio y pona el dedo en él, y lo arrojaba un poco."
" And I would crunch it for long periods and short periods, and pain that went up and pain that went down, and with breaks and without breaks -- all kinds of versions of pain.","Y lo corté durante periodos largos y cortos, y el dolor cayó y el dolor cayó, y con pausas y sin pausas, todo tipo de versión de dolor."
"And when I finished hurting people a little bit, I would ask them, so, how painful was this?","Y cuando terminé dolorando a la gente un poco, les preguntaba, qué doloroso era esto?"
"Or, how painful was this?","O, qué doloroso era esto?"
"Or, if you had to choose between the last two, which one would you choose? doing this for a while. And then, like all good academic projects, I got more funding.","O, si tuvieras que elegir entre los dos ltimos, qué elegiras? hacer esto por un tiempo. Y luego, como todos los buenos proyectos académicos, obtuve más financiamiento."
"I moved to sounds, electrical shocks -- I even had a pain suit that I could get people to feel much more pain.","Me mudé a sonidos, choques eléctricos, incluso tuve un traje de dolor que poda hacer que la gente siente mucho más dolor."
"But at the end of this process, what I learned was that the nurses were wrong.","Pero al final de este proceso, aprend que las enfermeras estaban equivocadas."
"Here were wonderful people with good intentions and plenty of experience, and nevertheless they were getting things wrong predictably all the time.It turns out that because we don't encode duration in the way that we encode intensity, I would have had less","Aqu eran personas maravillosas con buenas intenciones y mucha experiencia, y, sin embargo, estaban equivocando las cosas predeciblemente todo el tiempo.Resulta que, como no codificamos la duración en la forma en que codificamos intensidad, hubiera tenido menos."
And it also turns out that it would have been good to give me breaks in the middle to kind of recuperate from the pain.,Y también resulta que habra sido bueno darme pausas en el medio para recuperarse del dolor.
"All of these would have been great things to do, and my nurses had no idea.","Todas estas hubieran sido grandes cosas que hacer, y mis enfermeras no tenan idea."
"And from that point on I started thinking, are the nurses the only people in the world who get things wrong in this particular decision, or is it a more general case?","Y desde ese momento empecé a pensar, las enfermeras son las nicas personas en el mundo que se equivocan en esta decisión en particular, o es un caso más general?"
And it turns out it's a more general case -- there's a lot of mistakes we do.,"Y resulta que es un caso más general, hay muchos errores que hacemos."
"And I want to give you one example of one of these irrationalities, and I want to talk to you about cheating.","Y quiero darles un ejemplo de una de estas irracionalidades, y quiero hablarles de la trampa."
"And the reason I picked cheating is because it's interesting, but also it tells us something, I think, about the stock market situation we're in.","Y la razón por la que escog la trampa es porque es interesante, pero también nos dice algo, creo, sobre la situación de la barrio de valores en la que estamos."
"So, my interest in cheating started when Enron came on the scene, exploded all of a sudden, and I started thinking about what is happening here.","As que mi interés en la trampa comenzó cuando Enron vino en la escena, explotó de repente, y empecé a pensar en lo que está sucediendo aqu."
"Is it the case that there was kind of a few apples who are capable of doing these things, or are we talking a more endemic situation, that many people are actually capable of behaving this way?","Es el caso de que haba algunas manzanas capaz de hacer estas cosas, o estamos hablando de una situación más enendémica, de que muchas personas son capaces de comportarse de esta manera?"
